piercing-rounds-magazine	1	3	"5 x copper-plate | 1 x steel-plate"
rocket	1	8	"1 x electronic-circuit | 2 x explosives | 2 x iron-plate"
explosive-rocket	1	8	"1 x rocket | 5 x explosives"
shotgun-shell	1	3	"2 x copper-plate | 2 x iron-plate"
piercing-shotgun-shell	1	8	"2 x copper-plate | 2 x steel-plate"
railgun-dart	1	8	"5 x steel-plate | 5 x electronic-circuit"
cannon-shell	1	8	"4 x steel-plate | 2 x plastic-bar | 1 x explosives"
explosive-cannon-shell	1	8	"4 x steel-plate | 2 x plastic-bar | 4 x explosives"
poison-capsule	1	8	"3 x steel-plate | 3 x electronic-circuit | 10 x coal"
slowdown-capsule	1	8	"2 x steel-plate | 2 x electronic-circuit | 5 x coal"
grenade	1	8	"5 x iron-plate | 10 x coal"
cluster-grenade	1	8	"7 x grenade | 5 x explosives | 5 x steel-plate"
defender-capsule	1	8	"1 x piercing-rounds-magazine | 2 x electronic-circuit | 3 x iron-gear-wheel"
distractor-capsule	1	15	"4 x defender-capsule | 3 x advanced-circuit"
destroyer-capsule	1	15	"4 x distractor-capsule | 1 x speed-module"
discharge-defense-remote	1	0.5	"1 x electronic-circuit"
copper-plate	1	3.5	"1 x copper-ore"
iron-plate	1	3.5	"1 x iron-ore"
stone-brick	1	3.5	"2 x stone"
wood	2	0.5	"1 x raw-wood"
wooden-chest	1	0.5	"4 x wood"
iron-stick	2	0.5	"1 x iron-plate"
iron-axe	1	0.5	"2 x iron-stick | 3 x iron-plate"
stone-furnace	1	0.5	"5 x stone"
boiler	1	0.5	"1 x stone-furnace | 1 x pipe"
steam-engine	1	0.5	"5 x iron-gear-wheel | 5 x pipe | 5 x iron-plate"
iron-gear-wheel	1	0.5	"2 x iron-plate"
electronic-circuit	1	0.5	"1 x iron-plate | 3 x copper-cable"
transport-belt	2	0.5	"1 x iron-plate | 1 x iron-gear-wheel"
electric-mining-drill	1	2	"3 x electronic-circuit | 5 x iron-gear-wheel | 10 x iron-plate"
